index,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,timediff,image name,image polarisation,image resolution,crs,waterbody percentage,date,chipname,nearest ship
6415094,367610960,2020-01-01 23:53:18,29.42728,-88.92116,0.0,133.8,139.0,JAMIE G EYMARD,IMO9696137,WDH3792,90.0,0.0,47.0,20.0,2.3,,A,30.0,S1A_IW_GRDH_1SDV_20200101T235348_20200101T235417_030614_0381E5_94FD,"['VV', 'VH']",10.0,EPSG:32616,100.0,2020-01-01,2020-01-01-6415094_dualchannel.tif,7482.048934953418
6416098,367627320,2020-01-01 23:54:35,29.40631,-88.99444,0.0,226.0,511.0,ROCKFISH,IMO8763024,WDH5372,90.0,0.0,22.0,10.0,1.5,90.0,A,47.0,S1A_IW_GRDH_1SDV_20200101T235348_20200101T235417_030614_0381E5_94FD,"['VV', 'VH']",10.0,EPSG:32616,100.0,2020-01-01,2020-01-01-6416098_dualchannel.tif,7482.048934953418
6420877,367376530,2020-01-01 23:53:59,28.74251,-88.82561,0.0,226.0,511.0,MATTERHORN TLP,,WDE6150,90.0,3.0,,,,90.0,A,11.0,S1A_IW_GRDH_1SDV_20200101T235348_20200101T235417_030614_0381E5_94FD,"['VV', 'VH']",10.0,EPSG:32616,100.0,2020-01-01,2020-01-01-6420877_dualchannel.tif,73130.8057282922
6407181,367514120,2020-01-01 23:53:14,29.3801,-88.63223,0.0,64.6,198.0,L/B ROBERT,IMO9649809,WDG2290,90.0,0.0,56.0,41.0,3.0,,A,34.0,S1A_IW_GRDH_1SDV_20200101T235348_20200101T235417_030614_0381E5_94FD,"['VV', 'VH']",10.0,EPSG:32616,100.0,2020-01-01,2020-01-01-6407181_dualchannel.tif,3153.544597291881
6426131,636015039,2020-01-01 23:54:00,29.39993,-88.60893,0.0,42.1,511.0,ENSCO 87,IMO8753809,A8YE8,90.0,15.0,74.0,61.0,,,A,12.0,S1A_IW_GRDH_1SDV_20200101T235348_20200101T235417_030614_0381E5_94FD,"['VV', 'VH']",10.0,EPSG:32616,100.0,2020-01-01,2020-01-01-6426131_dualchannel.tif,3153.544597291881
6426984,229570000,2020-01-01 23:54:58,30.08277,-88.03565,0.0,152.0,153.0,NAVIOS GALILEO,IMO9326536,9HA3412,70.0,1.0,224.0,32.0,14.1,70.0,A,70.0,S1A_IW_GRDH_1SDV_20200101T235348_20200101T235417_030614_0381E5_94FD,"['VV', 'VH']",10.0,EPSG:32616,100.0,2020-01-01,2020-01-01-6426984_dualchannel.tif,1920.4546414013505
6427288,636017381,2020-01-01 23:54:24,30.0732,-88.06542,0.0,18.2,166.0,SBI ACHILLES,IMO9748423,D5KQ2,70.0,1.0,199.0,,,,A,36.0,S1A_IW_GRDH_1SDV_20200101T235348_20200101T235417_030614_0381E5_94FD,"['VV', 'VH']",10.0,EPSG:32616,100.0,2020-01-01,2020-01-01-6427288_dualchannel.tif,1678.6539362238505
1191795,369970402,2020-01-01 02:36:16,55.56623,-131.80328,0.0,0.0,511.0,IX 527 SUSPENSION,,,90.0,,,,,,B,54.0,S1A_IW_GRDH_1SDV_20200101T023710_20200101T023735_030601_038171_168E,"['VV', 'VH']",10.0,EPSG:32608,100.0,2020-01-01,2020-01-01-1191795_dualchannel.tif,inf
6424214,367189030,2020-01-01 23:53:44,30.33875,-89.07261,0.0,360.0,4.0,MISSOURI H,,WRS7131,,3.0,54.0,0.0,,,A,4.0,S1A_IW_GRDH_1SDV_20200101T235348_20200101T235417_030614_0381E5_94FD,"['VV', 'VH']",10.0,EPSG:32616,100.0,2020-01-01,2020-01-01-6424214_dualchannel.tif,57887.444230804
6417420,369142000,2020-01-01 23:52:25,30.16843,-88.48551,0.0,227.7,136.0,TEXAS VOYAGER,IMO9719886,WLIY,80.0,1.0,186.0,,,,A,83.0,S1A_IW_GRDH_1SDV_20200101T235348_20200101T235417_030614_0381E5_94FD,"['VV', 'VH']",10.0,EPSG:32616,100.0,2020-01-01,2020-01-01-6417420_dualchannel.tif,8362.86284617589
6419695,259725000,2020-01-01 23:52:54,30.08241,-88.10143,0.0,36.1,154.0,STAR HANSA,IMO9103128,LAXP4,70.0,1.0,198.0,31.0,12.3,,A,54.0,S1A_IW_GRDH_1SDV_20200101T235348_20200101T235417_030614_0381E5_94FD,"['VV', 'VH']",10.0,EPSG:32616,100.0,2020-01-01,2020-01-01-6419695_dualchannel.tif,1873.6191596658812
7029105,311000327,2020-01-01 23:53:32,30.08753,-88.07577,0.0,8.9,165.0,POLAND PEARL,IMO9731236,C6BP5,70.0,1.0,182.0,,,,A,16.0,S1A_IW_GRDH_1SDV_20200101T235348_20200101T235417_030614_0381E5_94FD,"['VV', 'VH']",10.0,EPSG:32616,100.0,2020-01-01,2020-01-01-7029105_dualchannel.tif,1659.2966918896004
4596500,566366000,2020-01-01 13:44:26,32.32623,-117.12578,0.0,345.0,270.0,PACIFIC BERYL,IMO9402782,9V9809,80.0,1.0,182.0,32.0,12.6,89.0,A,24.0,S1B_IW_GRDH_1SDV_20200101T134402_20200101T134427_019624_025171_645D,"['VV', 'VH']",10.0,EPSG:32611,100.0,2020-01-01,2020-01-01-4596500_dualchannel.tif,2558.021633790928
6413004,538006003,2020-01-01 23:50:53,30.10199,-88.53666,0.0,42.0,130.0,SBI SUBARU,IMO9705160,V7IV9,70.0,1.0,199.0,,,,A,175.0,S1A_IW_GRDH_1SDV_20200101T235348_20200101T235417_030614_0381E5_94FD,"['VV', 'VH']",10.0,EPSG:32616,100.0,2020-01-01,2020-01-01-6413004_dualchannel.tif,8860.869700925155
6420178,352623000,2020-01-01 23:52:47,29.75358,-88.28179,0.0,222.9,190.0,FRONTIER YOUTH,IMO9650779,3FPE,70.0,1.0,291.0,45.0,18.2,,A,61.0,S1A_IW_GRDH_1SDV_20200101T235348_20200101T235417_030614_0381E5_94FD,"['VV', 'VH']",10.0,EPSG:32616,100.0,2020-01-01,2020-01-01-6420178_dualchannel.tif,6193.779175549505
26978,367121010,2020-01-01 00:06:02,46.76932,-92.00258,0.0,42.5,289.0,AMERICAN CENTURY,IMO7923196,WDD2876,70.0,0.0,304.0,32.0,10.4,,A,2.0,S1B_IW_GRDH_1SDV_20200101T000604_20200101T000629_019616_02512B_2FF3,"['VV', 'VH']",10.0,EPSG:32615,100.0,2020-01-01,2020-01-01-26978_dualchannel.tif,inf
6420115,538004644,2020-01-01 23:52:01,29.04795,-87.81512,0.0,312.0,330.0,ROWAN RESOLUTE,IMO9630078,V7YE8,90.0,3.0,229.0,36.0,12.0,,A,107.0,S1A_IW_GRDH_1SDV_20200101T235348_20200101T235417_030614_0381E5_94FD,"['VV', 'VH']",10.0,EPSG:32616,100.0,2020-01-01,2020-01-01-6420115_dualchannel.tif,26573.095685236072
