MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,timediff,image name,image polarisation,image resolution,crs,waterbody percentage,date,chipname,nearest ship
477137300,2020-05-28 00:14:03,29.28282,-94.5367,0.0,182.2,30.0,CHIPOLBROK ATLANTIC,IMO9731377,VRPP6,0,1.0,189.0,,,,A,261.0,S1A_IW_GRDH_1SDV_20200528T001824_20200528T001849_032758_03CB68_CFE0,"['VV', 'VH']",10.0,EPSG:32615,100.0,2020-05-28,2020-05-28-575381_dualchannel.tif,1821.0618520663863
564966000,2020-05-09 02:06:04,37.72052,-122.34174,0.0,101.4,207.0,BW PANTHER,IMO9694464,9V2552,1,1.0,183.0,32.0,13.3,,A,93.0,S1A_IW_GRDH_1SDV_20200509T020737_20200509T020802_032482_03C2F8_462E,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-05-09,2020-05-09-643054_dualchannel.tif,882.1623090891791
373526000,2020-05-28 23:21:46,32.00253,-80.68095,0.0,276.0,173.0,NAVIOS LYRA,IMO9498626,3EUR6,0,1.0,180.0,30.0,9.9,,A,0.0,S1A_IW_GRDH_1SDV_20200528T232146_20200528T232211_032772_03CBCE_EF13,"['VV', 'VH']",10.0,EPSG:32617,100.0,2020-05-28,2020-05-28-7900632_dualchannel.tif,13032.052895419636
351528000,2020-05-27 02:20:23,46.20133,-123.82032,0.0,340.0,60.0,SEAGULL WIND,IMO9652507,3FJD5,0,1.0,229.0,32.0,14.7,79.0,A,660.0,S1B_IW_GRDH_1SDV_20200527T020923_20200527T020948_021761_0294D3_0514,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-05-27,2020-05-27-756663_dualchannel.tif,822.5070449816858
368133000,2020-04-15 00:28:44,29.34786,-94.74518,0.0,67.1,328.0,TERESA,IMO9175016,WDG9717,3,1.0,38.0,11.0,,,A,132.0,S1A_IW_GRDH_1SDV_20200415T002632_20200415T002657_032131_03B6DA_EC5C,"['VV', 'VH']",10.0,EPSG:32615,100.0,2020-04-15,2020-04-15-129364_dualchannel.tif,1739.145268213421
255806147,2020-11-24 00:18:25,29.23662,-94.46691,0.0,339.9,92.0,CLIO,IMO9396660,CQAD9,1,1.0,250.0,44.0,-12.8,80.0,A,19.0,S1A_IW_GRDH_1SDV_20201124T001844_20201124T001909_035383_04226B_25BE,"['VV', 'VH']",10.0,EPSG:32615,100.0,2020-11-24,2020-11-24-96401_dualchannel.tif,2584.9081157428977
367453480,2020-04-19 22:57:31,38.89773,-74.77595,0.0,212.3,511.0,VIRGINIA CLIPPER,IMO8024806,WDF4578,2,,22.0,6.0,,,B,74.0,S1A_IW_GRDH_1SDV_20200419T225845_20200419T225910_032203_03B96F_FC36,"['VV', 'VH']",10.0,EPSG:32618,100.0,2020-04-19,2020-04-19-5563960_dualchannel.tif,34133.41153897807
338134000,2020-04-03 02:00:34,37.79071,-122.35683,0.0,258.8,312.0,NANCY PETERKIN,IMO9758777,WDI2121,3,1.0,41.0,13.0,,,A,421.0,S1A_IW_GRDH_1SDV_20200403T020735_20200403T020800_031957_03B0B5_1B67,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-04-03,2020-04-03-561379_dualchannel.tif,855.3961963452214
357175000,2020-06-20 02:22:07,37.76866,-122.34551,0.0,198.6,306.0,NYK REMUS,IMO9416965,3FPB5,0,1.0,294.0,32.0,13.5,70.0,A,913.0,S1B_IW_GRDH_1SDV_20200620T020654_20200620T020719_022111_029F61_AADD,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-06-20,2020-06-20-1285359_dualchannel.tif,834.1916852864099
338899000,2020-05-29 01:49:03,48.58962,-122.52515,0.0,90.0,283.0,COMMITMENT,IMO9369411,WDE3894,3,1.0,40.0,12.0,6.9,31.0,A,286.0,S1B_IW_GRDH_1SDV_20200529T015349_20200529T015414_021790_0295C1_14F5,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-05-29,2020-05-29-564517_dualchannel.tif,1836.3073846252105
